trial,lr,weight_decay,batch_size,dropout,optimizer,val_loss,val_acc
32,0.002970585518295747,0.0001263247146577379,64,0.5797637194642934,adam,1.0447,0.6549
33,0.000260399919135723,8.862223991549695e-06,64,0.4453435766878983,adamw,0.62,0.8378
34,3.025482195389898e-05,4.925482199809962e-05,32,0.30350780051208565,adam,1.3485,0.5776
35,0.002135267534089734,4.025833634438502e-06,128,0.2734461800629458,adamw,0.4462,0.931
36,9.892747835781398e-05,0.033732286876583625,32,0.05724677045208632,adam,1.0395,0.6539
37,4.547891404397118e-05,0.0021475963009863087,256,0.42607089505701184,adamw,1.2775,0.5938
38,0.0814355296707671,0.005331755792833184,32,0.4624709210126187,adamw,2.0,0.5
39,7.973959418549927e-05,0.00012572974426650372,128,0.4650409366687348,adamw,0.9872,0.6675
40,0.0016654489133164003,1.7113005339824886e-05,32,0.29602245985615055,adam,0.4728,0.8982
41,0.0338770875064083,2.787502999304179e-07,32,0.5338892612683541,adam,2.0,0.5033
42,0.08643190818456312,0.09861987977288773,128,0.021493601147454997,sgd,2.0,0.5
43,0.05403440984806184,2.618807419413857e-07,32,0.0011385129009123362,sgd,2.0,0.5
44,0.032885938088374055,0.02982845866639077,256,0.27941390606648797,adamw,1.9022,0.5
45,0.014225363305958012,0.0002457622084549079,128,0.32721329034826047,adamw,1.3026,0.5732
46,0.00015193510856888575,3.0742192048985796e-05,256,0.4150386267046584,sgd,0.9192,0.6942
47,1.820867175651874e-05,0.0023666358339597122,64,0.3909016591520032,adamw,1.8073,0.5
48,0.00038973424391901257,0.00020256076284436598,32,0.5881210224281382,adam,0.8574,0.7324
49,0.008155947687540662,3.1763877075921054e-06,512,0.5781546355093098,adamw,1.5162,0.534
50,0.025809970286766393,0.00026624541127319814,32,0.5103702467355085,adamw,2.0,0.5075
51,0.0002064135911708423,1.8459210912766083e-06,64,0.4094850780866192,sgd,0.8794,0.7048
52,9.013823148396052e-05,0.0007948665398487013,128,0.047775678372698784,adam,1.0141,0.6586
53,0.09207333349441159,0.004062955213778297,64,0.20951868761470727,adam,2.0,0.5
54,0.00015164342619132087,0.00017859980517652015,128,0.28211939394211444,sgd,0.7687,0.7471
55,0.00032885898244066746,0.0024097367829433304,256,0.14604300925880445,sgd,0.6857,0.7886
56,5.715736940205831e-05,1.4144945646127384e-07,512,0.5691091789961111,adamw,1.4917,0.5452
57,0.00016493476949988424,1.6988974906801213e-05,256,0.5704632614168967,adamw,0.9067,0.6891
58,0.000200587160180595,2.459192132519001e-05,64,0.2511477507317567,sgd,0.6611,0.8047
59,0.0030733350198077734,0.005127907257658901,64,0.08605727309877476,adamw,0.6211,0.832
